pid,tid,event_type,start_time,end_time,mark_id,message,domain,rid,name,type,=recvTokenSize,=QueueSize,queue,from,to,action,LogicalBlockNum,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize,rid_list,token_id_list,batch_size,batch_type,during_time,metrics
253317,254643,start/end,1727940490908268.2,1727940490908268.8,409,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940490908294.5,1727940490908417.5,411,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 4}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[4],1.0,Decode,123.0,
253317,254645,start/end,1727940490908374.5,1727940490908375.5,412,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,1.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940490908451.0,1727940490908469.5,416,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 4}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[4],1.0,Decode,18.5,
253317,254643,start/end,1727940490928276.5,1727940490928276.8,421,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.25,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940490928303.2,1727940490928400.0,423,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 5}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[5],1.0,Decode,96.75,
253317,254645,start/end,1727940490928351.8,1727940490928352.5,424,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940490928434.8,1727940490928450.8,428,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 5}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[5],1.0,Decode,16.0,
253317,254643,start/end,1727940490948304.0,1727940490948304.5,433,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940490948330.2,1727940490948426.2,435,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 6}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[6],1.0,Decode,96.0,
253317,254645,start/end,1727940490948382.5,1727940490948383.0,436,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
