,time,metrics,=recvTokenSize,=QueueSize,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize
116,1727940491367517.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
118,1727940491387416.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
120,1727940491387492.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
122,1727940491407364.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
124,1727940491407432.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
126,1727940491427319.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
128,1727940491427405.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
130,1727940491447252.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
132,1727940491447324.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
134,1727940491467275.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
136,1727940491467344.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
138,1727940491487234.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
140,1727940491487348.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
142,1727940491507238.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
144,1727940491507314.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
146,1727940491527159.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}",,,,,-1.0,1.0,,
148,1727940491527237.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}",,,,,1.0,-1.0,,
