time,metrics
1727940491627526.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491648053.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491648163.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491668747.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491668813.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491688746.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491688814.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491710333.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491710473.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491730278.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491730363.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491750144.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491750234.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491769958.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491770027.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491789785.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491789858.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491809572.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491809676.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491829454.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491829532.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491849396.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491849467.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491869183.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491869251.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491889078.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491889152.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491908965.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491909047.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491935321.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491935428.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491956129.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491956221.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491976205.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491976296.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940491996077.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940491996141.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492015883.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492015944.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492036222.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492036281.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492056090.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492056164.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492075890.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492075986.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492097078.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492097148.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492117134.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492117202.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492137173.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492137315.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492157316.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492157416.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492177530.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492177607.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492198077.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492198158.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492218090.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492218169.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492238015.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492238135.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492258048.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492258122.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
